Crime,858,"Godfather, The ",4.4875
Crime,318,"Shawshank Redemption, The ",4.4871382636656
Crime,1945,"On the Waterfront ",4.44827586206897
Crime,1221,"Godfather: Part II, The ",4.38518518518519
Crime,50,"Usual Suspects, The ",4.37064676616915
Crime,1252,"Chinatown ",4.33552631578947
Crime,6016,"City of God (Cidade de Deus) ",4.29710144927536
Crime,3683,"Blood Simple ",4.29166666666667
Crime,1260,"M ",4.26190476190476
Crime,2186,"Strangers on a Train ",4.26086956521739
Children,5971,"My Neighbor Totoro (Tonari no Totoro) ",4.23076923076923
Children,745,"Wallace & Gromit: A Close Shave ",4.19354838709677
Children,953,"It's a Wonderful Life ",4.15277777777778
Children,76093,"How to Train Your Dragon ",4.15151515151515
Children,1148,"Wallace & Gromit: The Wrong Trousers ",4.09333333333333
Children,1223,"Grand Day Out with Wallace and Gromit, A ",4.08974358974359
Children,78499,"Toy Story 3 ",4.07142857142857
Children,6350,"Laputa: Castle in the Sky (Tenk没 no shiro Rapyuta) ",4.06818181818182
Children,2804,"Christmas Story, A ",4.04666666666667
Children,134853,"Inside Out ",4.04166666666667
Comedy,969,"African Queen, The ",4.42
Comedy,905,"It Happened One Night ",4.38
Comedy,3462,"Modern Times ",4.359375
Comedy,898,"Philadelphia Story, The ",4.35135135135135
Comedy,2318,"Happiness ",4.32608695652174
Comedy,194,"Smoke ",4.29166666666667
Comedy,608,"Fargo ",4.25669642857143
Comedy,296,"Pulp Fiction ",4.25617283950617
Comedy,994,"Big Night ",4.25
Comedy,1060,"Swingers ",4.22619047619048
Drama,858,"Godfather, The ",4.4875
Drama,318,"Shawshank Redemption, The ",4.4871382636656
Drama,1945,"On the Waterfront ",4.44827586206897
Drama,926,"All About Eve ",4.43421052631579
Drama,1217,"Ran ",4.42307692307692
Drama,7502,"Band of Brothers ",4.38636363636364
Drama,1221,"Godfather: Part II, The ",4.38518518518519
Drama,3462,"Modern Times ",4.359375
Drama,898,"Philadelphia Story, The ",4.35135135135135
Drama,1228,"Raging Bull ",4.35
Horror,1219,"Psycho ",4.25324675324675
Horror,593,"Silence of the Lambs, The ",4.13815789473684
Horror,2232,"Cube ",4.11904761904762
